technique,n_qubits,L,shots,clf_type,n_runs,depth,num_gates,single_qubit_gates,two_qubit_gates,cnot_gates,cz_gates,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std,preproc_time_s,encoding_time_per_sample_s,encoding_time_std_s,entanglement_pattern,encoding,axis,k,w2k_order,w2k_rank,vocab_size
Tech1_Angle_Linear_q4_L1,4,1,256,linearsvc,5,4,7,4,3,3,0,0.4560403777271247,5.551115123125783e-17,0.2755956726622828,0.0,0.4389999999999999,5.551115123125783e-17,0.3240597252045246,0.0,2.078795399982482,0.0011142242424698,0.0,linear_cnot_chain,angle,ry,,,,
Tech2_Angle_AllToAll_q4_L1,4,1,256,linearsvc,5,6,10,4,6,6,0,0.4562845978508629,0.0,0.2754206732893057,0.0,0.4405,0.0,0.3223790541549318,0.0,2.6654257000191137,0.0013323323230842,0.0,all_to_all_cnot,angle,ry,,,,
Tech1_Angle_Linear_q6_L1,6,1,256,linearsvc,5,6,11,6,5,5,0,0.4611690003256268,0.0,0.2818583020073534,0.0,0.4429999999999999,5.551115123125783e-17,0.3239102374056639,0.0,2.437286900007166,0.0017375484846221,0.0,linear_cnot_chain,angle,ry,,,,
Tech1_Angle_Linear_q4_L2,4,2,256,linearsvc,5,7,14,8,6,6,0,0.4488765874308043,0.0,0.2719933176379476,0.0,0.4455,0.0,0.3188071806260759,0.0,2.3963221999583766,0.0017354656569424,0.0,linear_cnot_chain,angle,ry,,,,
Tech2_Angle_AllToAll_q4_L2,4,2,256,linearsvc,5,11,20,8,12,12,0,0.4505861282969716,0.0,0.2744453455468129,0.0,0.454,0.0,0.3260956716059452,0.0,2.5720823999727145,0.0023083808082814,0.0,all_to_all_cnot,angle,ry,,,,
Tech1_Angle_Linear_q8_L1,8,1,256,linearsvc,5,8,15,8,7,7,0,0.457749918593292,5.551115123125783e-17,0.2818180269838324,0.0,0.4515,5.551115123125783e-17,0.3310380725900665,0.0,2.754425299994182,0.0016467626261844,0.0,linear_cnot_chain,angle,ry,,,,
Tech1_Angle_Linear_q4_L3,4,3,256,linearsvc,5,10,21,12,9,9,0,0.4448876587430804,0.0,0.2775429187028029,0.0,0.4615,0.0,0.3261025320726813,0.0,2.471226299996488,0.0022509959596914,0.0,linear_cnot_chain,angle,ry,,,,
Tech2_Angle_AllToAll_q6_L1,6,1,256,linearsvc,5,10,21,6,15,15,0,0.4603549332464995,0.0,0.2807460945470277,0.0,0.4445,0.0,0.3229145770008031,0.0,2.664012899971567,0.0019766858583692,0.0,all_to_all_cnot,angle,ry,,,,
Tech1_Angle_Linear_q6_L2,6,2,256,linearsvc,5,9,22,12,10,10,0,0.4541680234451318,0.0,0.2796758746274699,0.0,0.4589999999999999,5.551115123125783e-17,0.3247234247234247,0.0,2.06495900003938,0.0021270151518172,0.0,linear_cnot_chain,angle,ry,,,,
Tech1_Angle_Linear_q6_L3,6,3,256,linearsvc,5,12,33,18,15,15,0,0.4532725496580918,5.551115123125783e-17,0.2829572144036077,0.0,0.4589999999999999,5.551115123125783e-17,0.3253228675276467,0.0,2.6501585000078194,0.0027703020199568,0.0,linear_cnot_chain,angle,ry,,,,
Tech1_Angle_Linear_q8_L2,8,2,256,linearsvc,5,11,30,16,14,14,0,0.4519700423314881,0.0,0.2803809295902755,0.0,0.4525,0.0,0.3259500321453794,0.0,2.81416559999343,0.0026701222223257,0.0,linear_cnot_chain,angle,ry,,,,
Tech1_Angle_Linear_q8_L3,8,3,256,linearsvc,5,14,45,24,21,21,0,0.4527027027027027,5.551115123125783e-17,0.2825988419715298,0.0,0.457,0.0,0.3261035258580184,0.0,2.7261358000105247,0.0030946838387259,0.0,linear_cnot_chain,angle,ry,,,,
Tech3_Amplitude_Hashing_q4_k16,4,1,256,linearsvc,5,1,1,0,0,0,0,0.4296646043633995,5.551115123125783e-17,0.2735106959830727,0.0,0.4485,0.0,0.2963100812845028,0.0,0.5464978218078613,0.0004278616162459,0.0,none,amplitude,,16.0,,,
Tech3_Amplitude_Hashing_q5_k32,5,1,256,linearsvc,5,1,1,0,0,0,0,0.4217681536958645,0.0,0.273116499068397,0.0,0.44,5.551115123125783e-17,0.290295963496502,0.0,0.6327893733978271,0.00053988080801,0.0,none,amplitude,,32.0,,,
Tech3_Amplitude_Hashing_q6_k64,6,1,256,linearsvc,5,1,1,0,0,0,0,0.4238033213936828,0.0,0.2710213859360139,0.0,0.433,0.0,0.28007548396685,0.0,0.6326761245727539,0.0006363747472112,0.0,none,amplitude,,64.0,,,
